ED,ECU,FCU,FD,APL,Force
43.24,20.44,8.09,22.47,30.57,1.36057053942577
42.7,20.36,8.119,21.81,30.42,1.36079797511448
42.31,20.3,8.148,21.26,30.25,1.35954183821394
42.23,20.22,8.163,20.71,30.33,1.35949945482846
42.13,20.08,8.09,20.06,30.53,1.36086223747822
42.05,20.03,7.899,19.6,30.67,1.36061903951499
42.05,20.09,7.695,19.34,30.79,1.35789940053553
42,20.19,7.578,19.16,30.9,1.36106061181151
41.74,20.18,7.548,19.05,30.93,1.37356046022568
41.47,20.19,7.534,18.96,30.9,1.38286658412979
41.38,20.18,7.519,18.82,30.91,1.38069794583347
41.31,20.19,7.504,18.7,30.91,1.37790833412201
41.26,20.3,7.504,18.61,30.91,1.38157999151189
41.34,20.39,7.519,18.59,30.94,1.38069475759358
41.72,20.45,7.519,18.62,30.99,1.37667846297261
41.9,20.43,7.504,18.72,31.06,1.38655682988936
41.95,20.4,7.548,18.86,31.17,1.40108693375189
42.06,20.36,7.563,18.96,31.27,1.4015275118634
42.05,20.38,7.563,18.99,31.24,1.39839903150932
42.14,20.35,7.578,19.01,31.25,1.40091592408952
42.23,19.97,7.563,19.01,31.33,1.40048953625624
42.19,19.71,7.548,19.03,31.6,1.39895931622061
42.19,19.61,7.534,19.14,32.17,1.40089861566982
42.21,19.55,7.519,19.2,33.05,1.4004370524138
42.18,19.56,7.504,19.19,33.65,1.39879421140295
41.85,19.58,7.519,19.13,33.75,1.4009195653507
41.44,19.47,7.504,19.06,33.81,1.40096625369726
41.41,19.35,7.446,19.04,34.25,1.39789700252367
41.39,19.42,7.417,19.05,34.79,1.40101386826235
41.34,19.4,7.461,19.07,34.88,1.40333071432219
41.15,19.2,7.446,19.04,34.91,1.3916248292317
40.98,18.9,7.387,18.95,35.15,1.38071677491844
40.97,18.86,7.373,18.91,35.47,1.38085261535807
41.05,18.89,7.373,18.91,35.66,1.3737154362562
41.11,18.96,7.387,18.91,35.83,1.36056102783871
41.1,19.02,7.373,18.91,36.09,1.35828090396218
40.93,18.99,7.314,18.87,36.35,1.35951541116385
40.77,18.96,7.27,18.85,36.74,1.3609846089877
40.75,19.03,7.285,18.86,37.28,1.37273260990513
40.79,19.09,7.285,18.82,37.47,1.38349817537236
40.9,19.1,7.27,18.78,37.35,1.38064702740004
40.98,19.09,7.27,18.72,37.24,1.37754228701885
40.97,19.11,7.256,18.75,37.25,1.38183336267773
41,19.11,7.212,18.91,37.24,1.38066647612365
41.08,19.02,7.241,19.04,37.29,1.37655434391604
41.06,18.95,7.241,19.08,37.44,1.3866344654911
41.08,18.86,7.197,19.1,37.65,1.40109041232737
41.05,18.83,7.197,19.1,37.86,1.4014960141762
40.93,18.82,7.212,19.08,37.96,1.39839582660961
40.79,18.73,7.212,19.04,38.01,1.40091434679744
40.69,18.56,7.197,18.99,37.99,1.4004900972373
40.61,18.35,7.197,19.01,38.14,1.3989564218617
40.54,18.3,7.197,19.1,38.81,1.40089613246421
40.48,18.35,7.124,19.16,39.67,1.40043798526562
40.49,18.55,6.89,19.19,40.09,1.39882296088165
40.61,18.9,6.685,19.23,40.05,1.40091549726827
40.87,19.26,6.627,19.28,39.84,1.40091284714866
41.11,19.43,6.627,19.29,39.6,1.39800361595175
41.28,19.42,6.641,19.28,39.48,1.40100746279444
